[2025-01-20 13:13:54,451] 18 root - INFO - Initiate the data ingestion
[2025-01-20 13:13:59,321] 67 root - INFO - Performed train test split on the dataframe
[2025-01-20 13:13:59,321] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-20 13:13:59,321] 77 root - INFO - Exporting train and test file path.
[2025-01-20 13:13:59,418] 86 root - INFO - Exported train and test file path.
[2025-01-20 13:13:59,418] 20 root - INFO - Data Initiation Completed
[2025-01-20 13:13:59,418] 24 root - INFO - Initiate the data validation
[2025-01-20 13:13:59,454] 34 root - INFO - Required number of columns:2
[2025-01-20 13:13:59,454] 35 root - INFO - Data frame has columns:31
[2025-01-20 13:13:59,455] 34 root - INFO - Required number of columns:2
[2025-01-20 13:13:59,455] 35 root - INFO - Data frame has columns:31
[2025-01-20 13:13:59,680] 34 root - INFO - Required number of columns:2
[2025-01-20 13:13:59,680] 35 root - INFO - Data frame has columns:31
[2025-01-20 13:13:59,680] 34 root - INFO - Required number of columns:2
[2025-01-20 13:13:59,680] 35 root - INFO - Data frame has columns:31
[2025-01-20 13:13:59,856] 27 root - INFO - data validation completed
[2025-01-20 13:13:59,856] 30 root - INFO - data Transformation started
[2025-01-20 13:13:59,856] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-01-20 13:13:59,856] 65 root - INFO - Starting data transformation
[2025-01-20 13:13:59,897] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-01-20 13:13:59,897] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-20 13:13:59,916] 43 root - INFO - Entered the save_object method of MainUtils class
[2025-01-20 13:13:59,922] 47 root - INFO - Exited the save_object method of MainUtils class
[2025-01-20 13:13:59,922] 43 root - INFO - Entered the save_object method of MainUtils class
[2025-01-20 13:13:59,926] 47 root - INFO - Exited the save_object method of MainUtils class
[2025-01-20 13:13:59,926] 34 root - INFO - data Transformation completed
[2025-01-20 13:13:59,926] 36 root - INFO - Model Training sstared
