[2025-01-19 15:39:05,087] 14 root - INFO - Initiate the data ingestion
[2025-01-19 15:39:09,988] 67 root - INFO - Performed train test split on the dataframe
[2025-01-19 15:39:09,988] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-19 15:39:09,988] 77 root - INFO - Exporting train and test file path.
[2025-01-19 15:39:10,063] 86 root - INFO - Exported train and test file path.
[2025-01-19 15:39:10,063] 16 root - INFO - Data Initiation Completed
[2025-01-19 15:39:10,080] 20 root - INFO - Initiate the data validation
[2025-01-19 15:39:10,105] 34 root - INFO - Required number of columns:2
[2025-01-19 15:39:10,105] 35 root - INFO - Data frame has columns:31
[2025-01-19 15:39:10,105] 34 root - INFO - Required number of columns:2
[2025-01-19 15:39:10,105] 35 root - INFO - Data frame has columns:31
[2025-01-19 15:39:10,313] 34 root - INFO - Required number of columns:2
[2025-01-19 15:39:10,313] 35 root - INFO - Data frame has columns:31
[2025-01-19 15:39:10,313] 34 root - INFO - Required number of columns:2
[2025-01-19 15:39:10,313] 35 root - INFO - Data frame has columns:31
[2025-01-19 15:39:10,487] 23 root - INFO - data validation completed
