[2025-01-20 16:15:06,907] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-01-20 16:15:07,566] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-01-20 16:15:08,108] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-01-20 16:15:08,125] 107 dagshub - INFO - Accessing as Harshbodhi-A
[2025-01-20 16:15:08,717] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Harshbodhi-A/networksecurity "HTTP/1.1 200 OK"
[2025-01-20 16:15:09,299] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-01-20 16:15:09,301] 107 dagshub - INFO - Initialized MLflow to track repo "Harshbodhi-A/networksecurity"
[2025-01-20 16:15:09,305] 107 dagshub - INFO - Repository Harshbodhi-A/networksecurity initialized!
[2025-01-20 16:15:09,305] 18 root - INFO - Initiate the data ingestion
[2025-01-20 16:15:15,544] 67 root - INFO - Performed train test split on the dataframe
[2025-01-20 16:15:15,544] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-20 16:15:15,544] 77 root - INFO - Exporting train and test file path.
[2025-01-20 16:15:15,631] 86 root - INFO - Exported train and test file path.
[2025-01-20 16:15:15,633] 20 root - INFO - Data Initiation Completed
[2025-01-20 16:15:15,635] 24 root - INFO - Initiate the data validation
[2025-01-20 16:15:15,668] 34 root - INFO - Required number of columns:2
[2025-01-20 16:15:15,668] 35 root - INFO - Data frame has columns:31
[2025-01-20 16:15:15,668] 34 root - INFO - Required number of columns:2
[2025-01-20 16:15:15,668] 35 root - INFO - Data frame has columns:31
[2025-01-20 16:15:15,878] 34 root - INFO - Required number of columns:2
[2025-01-20 16:15:15,878] 35 root - INFO - Data frame has columns:31
[2025-01-20 16:15:15,878] 34 root - INFO - Required number of columns:2
[2025-01-20 16:15:15,878] 35 root - INFO - Data frame has columns:31
[2025-01-20 16:15:16,074] 27 root - INFO - data validation completed
[2025-01-20 16:15:16,074] 30 root - INFO - data Transformation started
[2025-01-20 16:15:16,074] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-01-20 16:15:16,074] 65 root - INFO - Starting data transformation
[2025-01-20 16:15:16,110] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-01-20 16:15:16,112] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-20 16:15:16,132] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-01-20 16:15:16,135] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-01-20 16:15:16,135] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-01-20 16:15:16,139] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-01-20 16:15:16,141] 34 root - INFO - data Transformation completed
[2025-01-20 16:15:16,141] 36 root - INFO - Model Training sstared
[2025-01-20 16:19:56,715] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-01-20 16:19:56,718] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-01-20 16:19:56,718] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-01-20 16:19:56,742] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-01-20 16:19:56,744] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_20_2025_16_14_54\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912271753544833, precision_score=0.9908228816151728, recall_score=0.9916317991631799), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9868943606036537, precision_score=0.9857199523998413, recall_score=0.9880715705765407))
[2025-01-20 16:19:56,746] 41 root - INFO - Model Training artifact created
