[2025-01-19 21:09:07,541] 15 root - INFO - Initiate the data ingestion
[2025-01-19 21:09:13,295] 67 root - INFO - Performed train test split on the dataframe
[2025-01-19 21:09:13,295] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-19 21:09:13,295] 77 root - INFO - Exporting train and test file path.
[2025-01-19 21:09:13,451] 86 root - INFO - Exported train and test file path.
[2025-01-19 21:09:13,451] 17 root - INFO - Data Initiation Completed
[2025-01-19 21:09:13,470] 21 root - INFO - Initiate the data validation
[2025-01-19 21:09:13,524] 34 root - INFO - Required number of columns:2
[2025-01-19 21:09:13,524] 35 root - INFO - Data frame has columns:31
[2025-01-19 21:09:13,556] 34 root - INFO - Required number of columns:2
[2025-01-19 21:09:13,556] 35 root - INFO - Data frame has columns:31
[2025-01-19 21:09:13,911] 34 root - INFO - Required number of columns:2
[2025-01-19 21:09:13,911] 35 root - INFO - Data frame has columns:31
[2025-01-19 21:09:13,911] 34 root - INFO - Required number of columns:2
[2025-01-19 21:09:13,911] 35 root - INFO - Data frame has columns:31
[2025-01-19 21:09:14,207] 24 root - INFO - data validation completed
[2025-01-19 21:09:14,207] 27 root - INFO - data Transformation started
[2025-01-19 21:09:14,208] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-01-19 21:09:14,208] 65 root - INFO - Starting data transformation
[2025-01-19 21:09:14,258] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-01-19 21:09:14,258] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-19 21:09:14,315] 43 root - INFO - Entered the save_object method of MainUtils class
[2025-01-19 21:09:14,325] 47 root - INFO - Exited the save_object method of MainUtils class
[2025-01-19 21:09:14,325] 43 root - INFO - Entered the save_object method of MainUtils class
[2025-01-19 21:09:14,329] 47 root - INFO - Exited the save_object method of MainUtils class
[2025-01-19 21:09:14,331] 31 root - INFO - data Transformation completed
