[2025-01-20 15:23:45,286] 18 root - INFO - Initiate the data ingestion
[2025-01-20 15:23:50,037] 67 root - INFO - Performed train test split on the dataframe
[2025-01-20 15:23:50,037] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-01-20 15:23:50,037] 77 root - INFO - Exporting train and test file path.
[2025-01-20 15:23:50,119] 86 root - INFO - Exported train and test file path.
[2025-01-20 15:23:50,119] 20 root - INFO - Data Initiation Completed
[2025-01-20 15:23:50,119] 24 root - INFO - Initiate the data validation
[2025-01-20 15:23:50,142] 34 root - INFO - Required number of columns:2
[2025-01-20 15:23:50,156] 35 root - INFO - Data frame has columns:31
[2025-01-20 15:23:50,159] 34 root - INFO - Required number of columns:2
[2025-01-20 15:23:50,159] 35 root - INFO - Data frame has columns:31
[2025-01-20 15:23:50,370] 34 root - INFO - Required number of columns:2
[2025-01-20 15:23:50,370] 35 root - INFO - Data frame has columns:31
[2025-01-20 15:23:50,370] 34 root - INFO - Required number of columns:2
[2025-01-20 15:23:50,370] 35 root - INFO - Data frame has columns:31
[2025-01-20 15:23:50,552] 27 root - INFO - data validation completed
[2025-01-20 15:23:50,553] 30 root - INFO - data Transformation started
[2025-01-20 15:23:50,553] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-01-20 15:23:50,553] 65 root - INFO - Starting data transformation
[2025-01-20 15:23:50,585] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-01-20 15:23:50,585] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-20 15:23:50,600] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-01-20 15:23:50,603] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-01-20 15:23:50,603] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-01-20 15:23:50,608] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-01-20 15:23:50,609] 34 root - INFO - data Transformation completed
[2025-01-20 15:23:50,609] 36 root - INFO - Model Training sstared
